Event_id,Episode,Agri,Name,Country
1015511,3,- Medium,"Lazio, Holy See",Italy
1015511,3,- Medium,"Marche, San Marino",Italy
1015511,3,- Medium,Molise,Italy
1015511,3,- Medium,Puglia,Italy
1015511,3,- High,Toscana,Italy
1015511,3,- Medium,Umbria,Italy
1015512,3,- Medium,Saskatchewan,Canada
1015512,3,- Medium,Montana,United States
1015553,10,- Low,Montana,United States
1015559,20,- Medium,Para,Brazil
1015559,20,- Medium,Tocantins,Brazil
1015559,20,- Medium,Minas Gerais,Brazil
1015589,4,- Medium,Afyon,Turkey
1015589,4,- Low,Aksaray,Turkey
1015589,4,- Medium,Ankara,Turkey
1015589,4,- Medium,Corum,Turkey
1015589,4,- Medium,Isparta,Turkey
1015589,4,- Low,Kayseri,Turkey
1015589,4,- Medium,Kirikkale,Turkey
1015589,4,- Medium,Kirsehir,Turkey
1015589,4,- Medium,Konya,Turkey
1015589,4,- Medium,Nevsehir,Turkey
1015589,4,- Low,Sivas,Turkey
1015589,4,- Low,Tokat,Turkey
1015589,4,- Medium,Yozgat,Turkey
1015605,8,- Medium,Luxembourg,Luxembourg
1015605,8,- Medium,"Vlaams Gewest, Brussels",Belgium
1015605,8,- Medium,Region wallonne,Belgium
1015605,8,- Medium,Champagne-Ardenne,France
1015605,8,- Medium,Lorraine,France
1015605,8,- Medium,Nord-Pas-de-Calais,France
1015605,8,- Medium,Pays-de-la-Loire,France
1015605,8,- Medium,Picardie,France
1015605,8,- Medium,Czech Republic,Czech Republic
1015605,8,- Medium,Baden-Wuerttemberg,Germany
1015605,8,- Medium,Bayern,Germany
1015605,8,- Medium,"Brandenburg, Berlin",Germany
1015605,8,- Medium,Hessen,Germany
1015605,8,- Medium,Mecklenburg-Vorpommern,Germany
1015605,8,- Medium,"Niedersachsen, Bremen",Germany
1015605,8,- Medium,Nordrhein-Westfalen,Germany
1015605,8,- Medium,Rheinland-Pfalz,Germany
1015605,8,- Medium,Sachsen,Germany
1015605,8,- Medium,Sachsen-Anhalt,Germany
1015605,8,- Medium,Thueringen,Germany
1015605,8,- Medium,Lubuskie,Poland
1015605,8,- Low,Zachodnio-Pomorskie,Poland
1015605,8,- Medium,Blekinge Laen,Sweden
1015605,8,- Medium,Joenkoepings Laen,Sweden
1015605,8,- Medium,Kalmar Laen,Sweden
1015605,8,- Medium,Kronobergs Laen,Sweden
1015605,8,- Medium,Oestergoetlands Laen,Sweden
1015623,22,- Low,Xinjiang Uygur Zizhiqu,China
1015623,22,- Low,Govi-Altai,Mongolia
1015623,22,- Low,Uvs,Mongolia
1015623,22,- Low,Zavxan,Mongolia
1015708,43,- Medium,Portugal,Portugal
1015708,43,- Medium,Andalucía,Spain
1015708,43,- Medium,Extremadura,Spain
1015709,40,- Low,Neuquen,Argentina
1015709,40,- Medium,Araucania,Chile
1015709,40,- Medium,Biobio,Chile
1015709,40,- Medium,Maule,Chile
1015767,25,- Low,Apurímac,Peru
1015767,25,- Low,Cusco,Peru
1015771,22,- Medium,Myanmar,Myanmar
1015771,22,- Medium,Manipur,India
1015792,29,- High,Benue,Nigeria
1015792,29,- High,Abuja,Nigeria
1015792,29,- Medium,Kaduna,Nigeria
1015792,29,- High,Kogi,Nigeria
1015792,29,- High,Taraba,Nigeria
1015792,29,- High,Nassarawa,Nigeria
1015792,29,- High,Plateau,Nigeria
1015826,23,- Medium,Guizhou Sheng,China
1015849,11,- Low,Khanty-mansyiskiy Okrug,Russia
1015849,11,- Low,Kirovskaya Oblast,Russia
1015849,11,- Low,Komi-permyatskiy Okrug,Russia
1015849,11,- Low,Permskaya Oblast,Russia
1015849,11,- Medium,Sverdlovskaya Oblast,Russia
1015849,11,- Medium,Tyumenskaya Oblast,Russia
