Event_id,Episode,Name,LOCODE,Country,Distance
1449369,1598127,Sosua,,Dominican Republic,69 km
1449369,1598127,Puerto Botado,,Dominican Republic,70 km
1449369,1598127,Santa Barbara de Samana,,Dominican Republic,82 km
1449369,1598127,Puerto Plata,DOPOP,Dominican Republic,84 km
1449369,1598127,Santo Domingo,DOSDQ,Dominican Republic,91 km
1449369,1598127,Rio Haina,DOHAI,Dominican Republic,95 km
1449402,1598177,Lamon Anchorage,,Philippines,90 km
1449402,1598177,Aras Asan,,Philippines,91 km
1449402,1598177,Hinatuan,,Philippines,100 km
1449406,1598183,San Juan Del Sur,NISJS,Nicaragua,97 km
