Event_id,Episode,Radius,Population
1448937,1597557,2 km,no people
1448952,1597577,Radius,Population
1448952,1597577,100 km,180000 people
1448952,1597577,75 km,51000 people
1448952,1597577,50 km,21000 people
1448952,1597577,20 km,5000 people
1448952,1597577,10 km,<1000 people
1448952,1597577,5 km,<1000 people
1448952,1597577,2 km,no people
1448963,1597593,Radius,Population
1448963,1597593,100 km,<1000 people
1448963,1597593,75 km,no people
1448963,1597593,50 km,no people
1448963,1597593,20 km,no people
1448963,1597593,10 km,no people
1448963,1597593,5 km,no people
1448963,1597593,2 km,no people
1448989,1597791,Radius,Population
1448989,1597791,100 km,no people
1448989,1597791,75 km,no people
1448989,1597791,50 km,no people
1448989,1597791,20 km,no people
1448989,1597791,10 km,no people
1448989,1597791,5 km,no people
1448989,1597791,2 km,no people
1449001,1597642,Radius,Population
1449001,1597642,100 km,no people
1449001,1597642,75 km,no people
1449001,1597642,50 km,no people
1449001,1597642,20 km,no people
1449001,1597642,10 km,no people
1449001,1597642,5 km,no people
1449001,1597642,2 km,no people
1449008,1597652,Radius,Population
1449008,1597652,100 km,3400 people
1449008,1597652,75 km,<1000 people
1449008,1597652,50 km,<1000 people
1449008,1597652,20 km,no people
1449008,1597652,10 km,no people
1449008,1597652,5 km,no people
1449008,1597652,2 km,no people
1449021,1597676,Radius,Population
1449021,1597676,100 km,4.6 million people
1449021,1597676,75 km,2.9 million people
1449021,1597676,50 km,950000 people
1449021,1597676,20 km,120000 people
1449021,1597676,10 km,56000 people
1449021,1597676,5 km,21000 people
1449021,1597676,2 km,<1000 people
1449028,1597683,Radius,Population
1449028,1597683,100 km,<1000 people
1449028,1597683,75 km,no people
1449028,1597683,50 km,no people
1449028,1597683,20 km,no people
1449028,1597683,10 km,no people
1449028,1597683,5 km,no people
1449028,1597683,2 km,no people
1449032,1597691,Radius,Population
1449032,1597691,100 km,12000 people
1449032,1597691,75 km,no people
1449032,1597691,50 km,no people
1449032,1597691,20 km,no people
1449032,1597691,10 km,no people
1449032,1597691,5 km,no people
1449032,1597691,2 km,no people
1449033,1597690,Radius,Population
1449033,1597690,100 km,no people
1449033,1597690,75 km,no people
1449033,1597690,50 km,no people
1449033,1597690,20 km,no people
1449033,1597690,10 km,no people
1449033,1597690,5 km,no people
1449033,1597690,2 km,no people
1449035,1597694,Radius,Population
1449035,1597694,100 km,1.2 million people
1449035,1597694,75 km,610000 people
1449035,1597694,50 km,260000 people
1449035,1597694,20 km,27000 people
1449035,1597694,10 km,1200 people
1449035,1597694,5 km,<1000 people
1449035,1597694,2 km,no people
1449038,1597698,Radius,Population
1449038,1597698,100 km,4900 people
1449038,1597698,75 km,<1000 people
1449038,1597698,50 km,no people
1449038,1597698,20 km,no people
1449038,1597698,10 km,no people
1449038,1597698,5 km,no people
1449038,1597698,2 km,no people
1449057,1597720,Radius,Population
1449057,1597720,100 km,<1000 people
1449057,1597720,75 km,no people
1449057,1597720,50 km,no people
1449057,1597720,20 km,no people
1449057,1597720,10 km,no people
1449057,1597720,5 km,no people
1449057,1597720,2 km,no people
1449059,1597722,Radius,Population
1449059,1597722,100 km,no people
1449059,1597722,75 km,no people
1449059,1597722,50 km,no people
1449059,1597722,20 km,no people
1449059,1597722,10 km,no people
1449059,1597722,5 km,no people
1449059,1597722,2 km,no people
1449060,1597724,Radius,Population
1449060,1597724,100 km,no people
1449060,1597724,75 km,no people
1449060,1597724,50 km,no people
1449060,1597724,20 km,no people
1449060,1597724,10 km,no people
1449060,1597724,5 km,no people
1449060,1597724,2 km,no people
1449064,1597731,Radius,Population
1449064,1597731,100 km,no people
1449064,1597731,75 km,no people
1449064,1597731,50 km,no people
1449064,1597731,20 km,no people
1449064,1597731,10 km,no people
1449064,1597731,5 km,no people
1449064,1597731,2 km,no people
1449066,1597734,Radius,Population
1449066,1597734,100 km,3.3 million people
1449066,1597734,75 km,460000 people
1449066,1597734,50 km,270000 people
1449066,1597734,20 km,32000 people
1449066,1597734,10 km,18000 people
1449066,1597734,5 km,2100 people
1449066,1597734,2 km,<1000 people
1449069,1597740,Radius,Population
1449069,1597740,100 km,no people
1449069,1597740,75 km,no people
1449069,1597740,50 km,no people
1449069,1597740,20 km,no people
1449069,1597740,10 km,no people
1449069,1597740,5 km,no people
1449069,1597740,2 km,no people
1449072,1597745,Radius,Population
1449072,1597745,100 km,<1000 people
1449072,1597745,75 km,<1000 people
1449072,1597745,50 km,<1000 people
1449072,1597745,20 km,no people
1449072,1597745,10 km,no people
1449072,1597745,5 km,no people
1449072,1597745,2 km,no people
1449087,1597765,Radius,Population
1449087,1597765,100 km,no people
1449087,1597765,75 km,no people
1449087,1597765,50 km,no people
1449087,1597765,20 km,no people
1449087,1597765,10 km,no people
1449087,1597765,5 km,no people
1449087,1597765,2 km,no people
1449091,1597770,Radius,Population
1449091,1597770,100 km,no people
1449091,1597770,75 km,no people
1449091,1597770,50 km,no people
1449091,1597770,20 km,no people
1449091,1597770,10 km,no people
1449091,1597770,5 km,no people
1449091,1597770,2 km,no people
1449097,1597782,Radius,Population
1449097,1597782,100 km,no people
1449097,1597782,75 km,no people
1449097,1597782,50 km,no people
1449097,1597782,20 km,no people
1449097,1597782,10 km,no people
1449097,1597782,5 km,no people
1449097,1597782,2 km,no people
1449098,1597823,Radius,Population
1449098,1597823,100 km,1900 people
1449098,1597823,75 km,no people
1449098,1597823,50 km,no people
1449098,1597823,20 km,no people
1449098,1597823,10 km,no people
1449098,1597823,5 km,no people
1449098,1597823,2 km,no people
1449106,1598135,Radius,Population
1449106,1598135,100 km,300000 people
1449106,1598135,75 km,120000 people
1449106,1598135,50 km,22000 people
1449106,1598135,20 km,no people
1449106,1598135,10 km,no people
1449106,1598135,5 km,no people
1449106,1598135,2 km,no people
1449115,1598137,Radius,Population
1449115,1598137,100 km,490000 people
1449115,1598137,75 km,260000 people
1449115,1598137,50 km,87000 people
1449115,1598137,20 km,no people
1449115,1598137,10 km,no people
1449115,1598137,5 km,no people
1449115,1598137,2 km,no people
1449117,1598138,Radius,Population
1449117,1598138,100 km,42.2 million people
1449117,1598138,75 km,37.8 million people
1449117,1598138,50 km,24.5 million people
1449117,1598138,20 km,3.2 million people
1449117,1598138,10 km,510000 people
1449117,1598138,5 km,95000 people
1449117,1598138,2 km,9600 people
1449120,1597812,Radius,Population
1449120,1597812,100 km,330000 people
1449120,1597812,75 km,200000 people
1449120,1597812,50 km,53000 people
1449120,1597812,20 km,no people
1449120,1597812,10 km,no people
1449120,1597812,5 km,no people
1449120,1597812,2 km,no people
1449123,1597839,Radius,Population
1449123,1597839,100 km,no people
1449123,1597839,75 km,no people
1449123,1597839,50 km,no people
1449123,1597839,20 km,no people
1449123,1597839,10 km,no people
1449123,1597839,5 km,no people
1449123,1597839,2 km,no people
1449129,1597822,Radius,Population
1449129,1597822,100 km,310000 people
1449129,1597822,75 km,120000 people
1449129,1597822,50 km,23000 people
1449129,1597822,20 km,no people
1449129,1597822,10 km,no people
1449129,1597822,5 km,no people
1449129,1597822,2 km,no people
1449145,1597844,Radius,Population
1449145,1597844,100 km,390000 people
1449145,1597844,75 km,290000 people
1449145,1597844,50 km,90000 people
1449145,1597844,20 km,12000 people
1449145,1597844,10 km,no people
1449145,1597844,5 km,no people
1449145,1597844,2 km,no people
1449152,1597856,Radius,Population
1449152,1597856,100 km,37000 people
1449152,1597856,75 km,12000 people
1449152,1597856,50 km,no people
1449152,1597856,20 km,no people
1449152,1597856,10 km,no people
1449152,1597856,5 km,no people
1449152,1597856,2 km,no people
1449158,1597863,Radius,Population
1449158,1597863,100 km,19000 people
1449158,1597863,75 km,4600 people
1449158,1597863,50 km,1900 people
1449158,1597863,20 km,no people
1449158,1597863,10 km,no people
1449158,1597863,5 km,no people
1449158,1597863,2 km,no people
1449161,1597867,Radius,Population
1449161,1597867,100 km,no people
1449161,1597867,75 km,no people
1449161,1597867,50 km,no people
1449161,1597867,20 km,no people
1449161,1597867,10 km,no people
1449161,1597867,5 km,no people
1449161,1597867,2 km,no people
1449164,1597871,Radius,Population
1449164,1597871,100 km,no people
1449164,1597871,75 km,no people
1449164,1597871,50 km,no people
1449164,1597871,20 km,no people
1449164,1597871,10 km,no people
1449164,1597871,5 km,no people
1449164,1597871,2 km,no people
1449189,1597902,Radius,Population
1449189,1597902,100 km,2600 people
1449189,1597902,75 km,1300 people
1449189,1597902,50 km,<1000 people
1449189,1597902,20 km,<1000 people
1449189,1597902,10 km,no people
1449189,1597902,5 km,no people
1449189,1597902,2 km,no people
1449198,1597915,Radius,Population
1449198,1597915,100 km,4.9 million people
1449198,1597915,75 km,2.7 million people
1449198,1597915,50 km,1.3 million people
1449198,1597915,20 km,120000 people
1449198,1597915,10 km,7200 people
1449198,1597915,5 km,1900 people
1449198,1597915,2 km,<1000 people
1449209,1597932,Radius,Population
1449209,1597932,100 km,no people
1449209,1597932,75 km,no people
1449209,1597932,50 km,no people
1449209,1597932,20 km,no people
1449209,1597932,10 km,no people
1449209,1597932,5 km,no people
1449209,1597932,2 km,no people
1449220,1597941,Radius,Population
1449220,1597941,100 km,4600 people
1449220,1597941,75 km,no people
1449220,1597941,50 km,no people
1449220,1597941,20 km,no people
1449220,1597941,10 km,no people
1449220,1597941,5 km,no people
1449220,1597941,2 km,no people
1449223,1597944,Radius,Population
1449223,1597944,100 km,no people
1449223,1597944,75 km,no people
1449223,1597944,50 km,no people
1449223,1597944,20 km,no people
1449223,1597944,10 km,no people
1449223,1597944,5 km,no people
1449223,1597944,2 km,no people
1449230,1597953,Radius,Population
1449230,1597953,100 km,3.1 million people
1449230,1597953,75 km,400000 people
1449230,1597953,50 km,250000 people
1449230,1597953,20 km,210000 people
1449230,1597953,10 km,180000 people
1449230,1597953,5 km,130000 people
1449230,1597953,2 km,24000 people
1449263,1597993,Radius,Population
1449263,1597993,100 km,no people
1449263,1597993,75 km,no people
1449263,1597993,50 km,no people
1449263,1597993,20 km,no people
1449263,1597993,10 km,no people
1449263,1597993,5 km,no people
1449263,1597993,2 km,no people
1449270,1598111,Radius,Population
1449270,1598111,100 km,no people
1449270,1598111,75 km,no people
1449270,1598111,50 km,no people
1449270,1598111,20 km,no people
1449270,1598111,10 km,no people
