Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1449591,1598413,Shimo Kolzumi,,30,,,,0,39 km
1449591,1598413,Shimofusa,,30,Civ.,Paved,Yes,7300,42 km
1449591,1598413,Utsunomiya,QUT,102,Civ.,Paved,Yes,5500,42 km
1449591,1598413,Ryugasaki,,2,,,,0,46 km
1449591,1598413,Iruma,,91,Mil.,Paved,Yes,6500,49 km
1449591,1598413,Ryugasaki South,,2,,,,0,49 km
1449591,1598413,Hyakuri,,32,Mil.,Paved,Yes,8800,55 km
1449591,1598413,Chofu,,41,Civ.,Paved,No,3200,58 km
1449591,1598413,Yokota AFB,OKO,139,Mil.,Paved,Yes,11000,60 km
1449591,1598413,Tachikawa,,95,,,,0,60 km
1449591,1598413,Shimoshizu,,30,,,,0,62 km
1449591,1598413,Tokyo Haneda International,HND,7,Civ.,Paved,Yes,9800,65 km
1449591,1598413,Tokyo Narita International,NRT,42,Civ.,Paved,Yes,13100,67 km
1449591,1598413,Yokohama,YOK,unknown,,,,0,76 km
1449591,1598413,Katsner AAF,,109,Civ.,Paved,No,1900,79 km
1449591,1598413,Atsugi,NJA,62,Mil.,Paved,Yes,7900,82 km
1449591,1598413,Kisarazu,,3,Mil.,Paved,Yes,6000,82 km
1449591,1598413,Otawara,,201,,,,0,83 km
1449621,1598459,Hualien,HUN,16,Civ.,Paved,Yes,9000,6 km
1449621,1598459,Lishan,LHN,unknown,,,,0,54 km
1449621,1598459,Sun Moon Lake,SMT,unknown,,,,0,76 km
1449621,1598459,,,9,,,,0,82 km
1449652,1598494,Laoag International,LAO,6,Civ.,Paved,Yes,7900,45 km
1449652,1598494,Vigan,,4,Civ.,Paved,No,3400,54 km
1449653,1598487,Faizabad,FBD,1180,Civ.,Unpaved,No,6500,62 km
1449653,1598487,Ishkashim,,30480,,,,0,94 km
1449653,1598487,Taluqan,TQN,unknown,,,,0,97 km
1449684,1598535,Vavau International,VAV,72,Civ.,Unpaved,Yes,5500,79 km
1449712,1598567,Mota Lava,MTV,unknown,,,,0,49 km
1449736,1598610,Sivas,VAS,1592,Civ.,Paved,Yes,12500,42 km
1449746,1598624,Malita,,5,,,,0,63 km
1449746,1598624,Buayan,GES,9,Civ.,Paved,No,5500,79 km
1449746,1598624,Tambler,,151,Civ.,Paved,Yes,10400,93 km
1449757,1598637,Ono-I-Lau,ONU,unknown,,,,0,76 km
1449780,1598683,Antonio Maceo,SCU,69,Civ.,Paved,Yes,13100,26 km
1449780,1598683,Los Mangos de Baragua,,100,,,,0,76 km
1449780,1598683,Guantanamo Bay NAS,NBW,17,Mil.,Paved,Yes,8000,78 km
1449780,1598683,Guantanamo los Canos,GAO,12,Civ.,Paved,Yes,8000,89 km
1449819,1598740,Dillons Bay,DLY,unknown,,,,0,19 km
1449819,1598740,Ipota,IPA,unknown,,,,0,38 km
1449819,1598740,White Grass,,6,Civ.,Paved,Yes,5000,66 km
1449819,1598740,Tanna Island Tanna,TAH,unknown,,,,0,66 km
1449819,1598740,Aniwa,AWD,unknown,,,,0,78 km
1449820,1598737,Diego Garcia Nsf,,3,,,,0,81 km
1449849,1598764,Boku,BOQ,unknown,,,,0,53 km
1449849,1598764,Arawa,RAW,unknown,,,,0,54 km
1449849,1598764,Karato,KAF,unknown,,,,0,59 km
1449849,1598764,Torokina,TOK,unknown,,,,0,62 km
1449849,1598764,Kurwina,KWV,unknown,,,,0,67 km
1449849,1598764,Oria,OTY,unknown,,,,0,72 km
1449849,1598764,Buin,UBI,unknown,,,,0,72 km
1449849,1598764,Tonu,TON,unknown,,,,0,73 km
1449849,1598764,Lehu,LHP,unknown,,,,0,79 km
1449849,1598764,Manetai,MVI,unknown,,,,0,86 km
1449849,1598764,Aropa,KIE,3,,,,0,87 km
1449849,1598764,Wakunai,WKN,3,,,,0,96 km
1449849,1598764,Mono,MNY,11,,,,0,96 km
1449849,1598764,Ballalae,,2,,,,0,97 km
1449868,1598786,Hachinohe,HHE,46,Mil.,Paved,Yes,7300,79 km
1449868,1598786,Misawa Naf,MSJ,36,Mil.,Paved,Yes,10000,93 km
1449875,1598792,Barakoma V La Vella,VEV,unknown,,,,0,55 km
1449875,1598792,Ballalae,,2,,,,0,76 km
1449875,1598792,Mono,MNY,11,,,,0,82 km
1449875,1598792,Kukundu,KUE,unknown,,,,0,89 km
1449875,1598792,Choiseul Bay,CHY,unknown,,,,0,92 km
1449905,1598833,Salina Cruz,SCX,23,,,,0,60 km
1449905,1598833,Ixtepec Military,,50,Civ.,Paved,Yes,7500,71 km
1449905,1598833,Ixtepec,IZT,unknown,,,,0,81 km
1449931,1598863,Iwo To (Iwo Jima),IWO,113,Mil.,Paved,Yes,8700,83 km
1449993,1598939,Sitia,JSH,122,Civ.,Paved,No,2300,55 km
1449993,1598939,Essey,KSJ,10,Civ.,Paved,No,3200,91 km
1450039,1598994,El Salar,,2300,Priv.,Unpaved,No,7200,91 km
1450049,1599004,Sapmanga,SMH,unknown,,,,0,9 km
1450049,1599004,Derim,DER,unknown,,,,0,16 km
1450049,1599004,Dinangat,DNU,unknown,,,,0,16 km
1450049,1599004,Yalumet,KYX,unknown,,,,0,18 km
1450049,1599004,Wantoat,WTT,unknown,,,,0,34 km
1450049,1599004,Nankina,NKN,unknown,,,,0,34 km
1450049,1599004,Indagen,IDN,unknown,,,,0,36 km
1450049,1599004,Lowai,LWI,unknown,,,,0,36 km
1450049,1599004,Kisengan,KSG,unknown,,,,0,38 km
1450049,1599004,Baindoung,BDZ,unknown,,,,0,45 km
1450049,1599004,Boana,BNV,unknown,,,,0,47 km
1450049,1599004,Bawan,BWJ,unknown,,,,0,48 km
1450049,1599004,Saidor,SDI,27,,,,0,51 km
1450049,1599004,Kasanombe,KSB,unknown,,,,0,54 km
1450049,1599004,Kaiapit,KIA,unknown,,,,0,58 km
1450049,1599004,Wasu,WSU,unknown,,,,0,60 km
1450049,1599004,Biliau,BIJ,unknown,,,,0,62 km
1450049,1599004,Nadzab,LAE,70,,,,0,62 km
1450049,1599004,Long Island,LSJ,unknown,,,,0,79 km
1450049,1599004,Gnarowein,GWN,unknown,,,,0,80 km
