Event_id,Episode,Radius,Population
1000008,1,2 km,no people
1000009,1,Radius,Population
1000009,1,100 km,190000 people
1000009,1,75 km,100000 people
1000009,1,50 km,91000 people
1000009,1,30 km,3200 people
1000009,1,20 km,1200 people
1000009,1,10 km,<1000 people
1000009,1,5 km,<1000 people
1000009,1,2 km,<1000 people
1000010,1,Radius,Population
1000010,1,100 km,7.9 million people
1000010,1,75 km,5.8 million people
1000010,1,50 km,4.6 million people
1000010,1,30 km,2.8 million people
1000010,1,20 km,1.1 million people
1000010,1,10 km,68000 people
1000010,1,5 km,5200 people
1000010,1,2 km,<1000 people
1000011,1,Radius,Population
1000011,1,100 km,8.7 million people
1000011,1,75 km,6.7 million people
1000011,1,50 km,4.7 million people
1000011,1,30 km,1.2 million people
1000011,1,20 km,340000 people
1000011,1,10 km,65000 people
1000011,1,5 km,1800 people
1000011,1,2 km,<1000 people
1000012,5,Radius,Population
1000012,5,100 km,29.9 million people
1000012,5,75 km,23.9 million people
1000012,5,50 km,9.9 million people
1000012,5,30 km,3.1 million people
1000012,5,20 km,1 million people
1000012,5,10 km,66000 people
1000012,5,5 km,9600 people
1000012,5,2 km,1400 people
1000013,3,Radius,Population
1000013,3,100 km,8.2 million people
1000013,3,75 km,6.3 million people
1000013,3,50 km,1.3 million people
1000013,3,30 km,260000 people
1000013,3,20 km,200000 people
1000013,3,10 km,71000 people
1000013,3,5 km,16000 people
1000013,3,2 km,<1000 people
1000014,5,Radius,Population
1000014,5,100 km,7.9 million people
1000014,5,75 km,5.8 million people
1000014,5,50 km,4.6 million people
1000014,5,30 km,2.8 million people
1000014,5,20 km,1.1 million people
1000014,5,10 km,68000 people
1000014,5,5 km,5200 people
1000014,5,2 km,<1000 people
1000015,1,Radius,Population
1000015,1,100 km,1.9 million people
1000015,1,75 km,1.1 million people
1000015,1,50 km,690000 people
1000015,1,30 km,330000 people
1000015,1,20 km,250000 people
1000015,1,10 km,12000 people
1000015,1,5 km,<1000 people
1000015,1,2 km,<1000 people
1000016,1,Radius,Population
1000016,1,100 km,2.5 million people
1000016,1,75 km,1.9 million people
1000016,1,50 km,1.5 million people
1000016,1,30 km,840000 people
1000016,1,20 km,670000 people
1000016,1,10 km,22000 people
1000016,1,5 km,3100 people
1000016,1,2 km,<1000 people
1000017,1,Radius,Population
1000017,1,100 km,1.5 million people
1000017,1,75 km,700000 people
1000017,1,50 km,240000 people
1000017,1,30 km,19000 people
1000017,1,20 km,7300 people
1000017,1,10 km,<1000 people
1000017,1,5 km,<1000 people
1000017,1,2 km,<1000 people
1000018,1,Radius,Population
1000018,1,100 km,250000 people
1000018,1,75 km,250000 people
1000018,1,50 km,220000 people
1000018,1,30 km,40000 people
1000018,1,20 km,<1000 people
1000018,1,10 km,<1000 people
1000018,1,5 km,<1000 people
1000018,1,2 km,<1000 people
1000020,5,Radius,Population
1000020,5,100 km,270000 people
1000020,5,75 km,180000 people
1000020,5,50 km,100000 people
1000020,5,30 km,94000 people
1000020,5,20 km,63000 people
1000020,5,10 km,19000 people
1000020,5,5 km,<1000 people
1000020,5,2 km,<1000 people
1000021,1,Radius,Population
1000021,1,100 km,1000000 people
1000021,1,75 km,260000 people
1000021,1,50 km,14000 people
1000021,1,30 km,3400 people
1000021,1,20 km,2300 people
1000021,1,10 km,2300 people
1000021,1,5 km,2300 people
1000021,1,2 km,<1000 people
1000023,7,Radius,Population
1000023,7,100 km,11.1 million people
1000023,7,75 km,6.6 million people
1000023,7,50 km,3.4 million people
1000023,7,30 km,1.3 million people
1000023,7,20 km,830000 people
1000023,7,10 km,5400 people
1000023,7,5 km,<1000 people
1000023,7,2 km,<1000 people
1000024,1,Radius,Population
1000024,1,100 km,8.7 million people
1000024,1,75 km,6.7 million people
1000024,1,50 km,4.7 million people
1000024,1,30 km,1.2 million people
1000024,1,20 km,340000 people
1000024,1,10 km,65000 people
1000024,1,5 km,1800 people
1000024,1,2 km,<1000 people
1000025,1,Radius,Population
1000025,1,100 km,<1000 people
1000025,1,75 km,<1000 people
1000025,1,50 km,no people
1000025,1,30 km,no people
1000025,1,20 km,no people
1000025,1,10 km,no people
1000025,1,5 km,no people
1000025,1,2 km,no people
1000026,1,Radius,Population
1000026,1,100 km,8.7 million people
1000026,1,75 km,6.7 million people
1000026,1,50 km,4.7 million people
1000026,1,30 km,1.2 million people
1000026,1,20 km,340000 people
1000026,1,10 km,65000 people
1000026,1,5 km,1800 people
1000026,1,2 km,<1000 people
1000027,1,Radius,Population
1000027,1,100 km,24.4 million people
1000027,1,75 km,18.6 million people
1000027,1,50 km,10 million people
1000027,1,30 km,4.4 million people
1000027,1,20 km,1.4 million people
1000027,1,10 km,240000 people
1000027,1,5 km,45000 people
1000027,1,2 km,2300 people
1000028,1,Radius,Population
1000028,1,100 km,<1000 people
1000028,1,75 km,<1000 people
1000028,1,50 km,<1000 people
1000028,1,30 km,<1000 people
1000028,1,20 km,<1000 people
1000028,1,10 km,<1000 people
1000028,1,5 km,<1000 people
1000028,1,2 km,no people
1000029,1,Radius,Population
1000029,1,100 km,8.2 million people
1000029,1,75 km,6.3 million people
1000029,1,50 km,1.3 million people
1000029,1,30 km,260000 people
1000029,1,20 km,200000 people
1000029,1,10 km,71000 people
1000029,1,5 km,16000 people
1000029,1,2 km,<1000 people
1000030,1,Radius,Population
1000030,1,100 km,24.4 million people
1000030,1,75 km,18.6 million people
1000030,1,50 km,10 million people
1000030,1,30 km,4.4 million people
1000030,1,20 km,1.4 million people
1000030,1,10 km,240000 people
1000030,1,5 km,45000 people
1000030,1,2 km,2300 people
1000031,41,Radius,Population
1000031,41,100 km,130000 people
1000031,41,75 km,93000 people
1000031,41,50 km,92000 people
1000031,41,30 km,91000 people
1000031,41,20 km,85000 people
1000031,41,10 km,26000 people
1000031,41,5 km,<1000 people
1000031,41,2 km,<1000 people
1000032,1,Radius,Population
1000032,1,100 km,190000 people
1000032,1,75 km,100000 people
1000032,1,50 km,91000 people
1000032,1,30 km,3200 people
1000032,1,20 km,1200 people
1000032,1,10 km,<1000 people
1000032,1,5 km,<1000 people
1000032,1,2 km,<1000 people
1000033,4,Radius,Population
1000033,4,100 km,200000 people
1000033,4,75 km,140000 people
1000033,4,50 km,90000 people
1000033,4,30 km,31000 people
1000033,4,20 km,4000 people
1000033,4,10 km,3300 people
1000033,4,5 km,1400 people
1000033,4,2 km,no people
1000034,1,Radius,Population
1000034,1,100 km,1.8 million people
1000034,1,75 km,720000 people
1000034,1,50 km,250000 people
1000034,1,30 km,36000 people
1000034,1,20 km,8800 people
1000034,1,10 km,6900 people
1000034,1,5 km,<1000 people
1000034,1,2 km,<1000 people
1000035,5,Radius,Population
1000035,5,100 km,19.7 million people
1000035,5,75 km,10.4 million people
1000035,5,50 km,5.7 million people
1000035,5,30 km,870000 people
1000035,5,20 km,150000 people
1000035,5,10 km,9000 people
1000035,5,5 km,1800 people
1000035,5,2 km,<1000 people
1000036,5,Radius,Population
1000036,5,100 km,80000 people
1000036,5,75 km,62000 people
1000036,5,50 km,no people
1000036,5,30 km,no people
1000036,5,20 km,no people
1000036,5,10 km,no people
1000036,5,5 km,no people
1000036,5,2 km,no people
1000037,1,Radius,Population
1000037,1,100 km,7.4 million people
1000037,1,75 km,2.5 million people
1000037,1,50 km,200000 people
1000037,1,30 km,7200 people
1000037,1,20 km,6300 people
1000037,1,10 km,6300 people
1000037,1,5 km,1600 people
1000037,1,2 km,no people
1000038,1,Radius,Population
1000038,1,100 km,1.5 million people
1000038,1,75 km,700000 people
1000038,1,50 km,240000 people
1000038,1,30 km,19000 people
1000038,1,20 km,7300 people
1000038,1,10 km,<1000 people
1000038,1,5 km,<1000 people
1000038,1,2 km,<1000 people
1000039,1,Radius,Population
1000039,1,100 km,24.4 million people
1000039,1,75 km,18.6 million people
1000039,1,50 km,10 million people
1000039,1,30 km,4.4 million people
1000039,1,20 km,1.4 million people
1000039,1,10 km,240000 people
1000039,1,5 km,45000 people
1000039,1,2 km,2300 people
1000040,1,Radius,Population
1000040,1,100 km,19.7 million people
1000040,1,75 km,10.4 million people
1000040,1,50 km,5.7 million people
1000040,1,30 km,870000 people
1000040,1,20 km,150000 people
1000040,1,10 km,9000 people
1000040,1,5 km,1800 people
1000040,1,2 km,<1000 people
1000041,2,Radius,Population
1000041,2,100 km,200000 people
1000041,2,75 km,140000 people
1000041,2,50 km,90000 people
1000041,2,30 km,31000 people
1000041,2,20 km,4000 people
1000041,2,10 km,3300 people
1000041,2,5 km,1400 people
1000041,2,2 km,no people
1000045,1,Radius,Population
1000045,1,100 km,7.4 million people
1000045,1,75 km,2.5 million people
1000045,1,50 km,200000 people
1000045,1,30 km,7200 people
1000045,1,20 km,6300 people
1000045,1,10 km,6300 people
1000045,1,5 km,1600 people
1000045,1,2 km,no people
1000047,1,Radius,Population
1000047,1,100 km,2.7 million people
1000047,1,75 km,1.8 million people
1000047,1,50 km,1.2 million people
1000047,1,30 km,940000 people
1000047,1,20 km,220000 people
1000047,1,10 km,<1000 people
1000047,1,5 km,<1000 people
