Event_id,Episode,Radius,Population
1022661,12,Burned Area,no people
1022662,6,Radius,Population
1022662,6,10 km,<1000 people
1022662,6,5 km,no people
1022662,6,2 km,no people
1022662,6,1 km,no people
1022662,6,Burned Area,no people
1022665,11,Radius,Population
1022665,11,10 km,<1000 people
1022665,11,5 km,no people
1022665,11,2 km,no people
1022665,11,1 km,no people
1022665,11,Burned Area,no people
1022668,8,Radius,Population
1022668,8,10 km,<1000 people
1022668,8,5 km,<1000 people
1022668,8,2 km,<1000 people
1022668,8,1 km,<1000 people
1022668,8,Burned Area,<1000 people
1022669,8,Radius,Population
1022669,8,10 km,11000 people
1022669,8,5 km,1300 people
1022669,8,2 km,<1000 people
1022669,8,1 km,no people
1022669,8,Burned Area,no people
1022671,9,Radius,Population
1022671,9,10 km,<1000 people
1022671,9,5 km,<1000 people
1022671,9,2 km,no people
1022671,9,1 km,no people
1022671,9,Burned Area,no people
1022672,4,Radius,Population
1022672,4,10 km,1400 people
1022672,4,5 km,<1000 people
1022672,4,2 km,<1000 people
1022672,4,1 km,<1000 people
1022672,4,Burned Area,<1000 people
1022674,8,Radius,Population
1022674,8,10 km,no people
1022674,8,5 km,no people
1022674,8,2 km,no people
1022674,8,1 km,no people
1022674,8,Burned Area,no people
1022675,13,Radius,Population
1022675,13,10 km,<1000 people
1022675,13,5 km,<1000 people
1022675,13,2 km,<1000 people
1022675,13,1 km,<1000 people
1022675,13,Burned Area,<1000 people
1022676,2,Radius,Population
1022676,2,10 km,<1000 people
1022676,2,5 km,<1000 people
1022676,2,2 km,<1000 people
1022676,2,1 km,<1000 people
1022676,2,Burned Area,<1000 people
1022677,6,Radius,Population
1022677,6,10 km,<1000 people
1022677,6,5 km,no people
1022677,6,2 km,no people
1022677,6,1 km,no people
1022677,6,Burned Area,no people
1022678,8,Radius,Population
1022678,8,10 km,no people
1022678,8,5 km,no people
1022678,8,2 km,no people
1022678,8,1 km,no people
1022678,8,Burned Area,no people
1022679,2,Radius,Population
1022679,2,10 km,<1000 people
1022679,2,5 km,<1000 people
1022679,2,2 km,<1000 people
1022679,2,1 km,<1000 people
1022679,2,Burned Area,<1000 people
1022680,12,Radius,Population
1022680,12,10 km,<1000 people
1022680,12,5 km,no people
1022680,12,2 km,no people
1022680,12,1 km,no people
1022680,12,Burned Area,no people
1022681,4,Radius,Population
1022681,4,10 km,no people
1022681,4,5 km,no people
1022681,4,2 km,no people
1022681,4,1 km,no people
1022681,4,Burned Area,no people
1022682,7,Radius,Population
1022682,7,10 km,<1000 people
1022682,7,5 km,no people
1022682,7,2 km,no people
1022682,7,1 km,no people
1022682,7,Burned Area,no people
1022683,10,Radius,Population
1022683,10,10 km,<1000 people
1022683,10,5 km,<1000 people
1022683,10,2 km,<1000 people
1022683,10,1 km,<1000 people
1022683,10,Burned Area,no people
1022684,9,Radius,Population
1022684,9,10 km,<1000 people
1022684,9,5 km,<1000 people
1022684,9,2 km,no people
1022684,9,1 km,no people
1022684,9,Burned Area,no people
1022685,4,Radius,Population
1022685,4,10 km,<1000 people
1022685,4,5 km,<1000 people
1022685,4,2 km,no people
1022685,4,1 km,no people
1022685,4,Burned Area,no people
1022686,5,Radius,Population
1022686,5,10 km,3000 people
1022686,5,5 km,<1000 people
1022686,5,2 km,<1000 people
1022686,5,1 km,<1000 people
1022686,5,Burned Area,no people
1022687,8,Radius,Population
1022687,8,10 km,<1000 people
1022687,8,5 km,<1000 people
1022687,8,2 km,<1000 people
1022687,8,1 km,<1000 people
1022687,8,Burned Area,<1000 people
1022688,7,Radius,Population
1022688,7,10 km,<1000 people
1022688,7,5 km,no people
1022688,7,2 km,no people
1022688,7,1 km,no people
1022688,7,Burned Area,no people
1022689,2,Radius,Population
1022689,2,10 km,<1000 people
1022689,2,5 km,no people
1022689,2,2 km,no people
1022689,2,1 km,no people
1022689,2,Burned Area,no people
1022690,4,Radius,Population
1022690,4,10 km,<1000 people
1022690,4,5 km,<1000 people
1022690,4,2 km,<1000 people
1022690,4,1 km,no people
1022690,4,Burned Area,no people
1022691,4,Radius,Population
1022691,4,10 km,no people
1022691,4,5 km,no people
1022691,4,2 km,no people
1022691,4,1 km,no people
1022691,4,Burned Area,no people
1022692,1,Radius,Population
1022692,1,10 km,<1000 people
1022692,1,5 km,no people
1022692,1,2 km,no people
1022692,1,1 km,no people
1022692,1,Burned Area,no people
1022693,12,Radius,Population
1022693,12,10 km,no people
1022693,12,5 km,no people
1022693,12,2 km,no people
1022693,12,1 km,no people
1022693,12,Burned Area,no people
1022694,3,Radius,Population
1022694,3,10 km,<1000 people
1022694,3,5 km,<1000 people
1022694,3,2 km,no people
1022694,3,1 km,no people
1022694,3,Burned Area,no people
1022695,8,Radius,Population
1022695,8,10 km,no people
1022695,8,5 km,no people
1022695,8,2 km,no people
1022695,8,1 km,no people
1022695,8,Burned Area,no people
1022696,3,Radius,Population
1022696,3,10 km,no people
1022696,3,5 km,no people
1022696,3,2 km,no people
1022696,3,1 km,no people
1022696,3,Burned Area,no people
1022697,5,Radius,Population
1022697,5,10 km,no people
1022697,5,5 km,no people
1022697,5,2 km,no people
1022697,5,1 km,no people
1022697,5,Burned Area,no people
1022698,2,Radius,Population
1022698,2,10 km,no people
1022698,2,5 km,no people
1022698,2,2 km,no people
1022698,2,1 km,no people
1022698,2,Burned Area,no people
1022699,4,Radius,Population
1022699,4,10 km,no people
1022699,4,5 km,no people
1022699,4,2 km,no people
1022699,4,1 km,no people
1022699,4,Burned Area,no people
1022700,7,Radius,Population
1022700,7,10 km,<1000 people
1022700,7,5 km,no people
1022700,7,2 km,no people
1022700,7,1 km,no people
1022700,7,Burned Area,no people
1022701,2,Radius,Population
1022701,2,10 km,<1000 people
1022701,2,5 km,<1000 people
1022701,2,2 km,no people
1022701,2,1 km,no people
1022701,2,Burned Area,no people
1022702,1,Radius,Population
1022702,1,10 km,no people
1022702,1,5 km,no people
1022702,1,2 km,no people
1022702,1,1 km,no people
1022702,1,Burned Area,no people
1022703,7,Radius,Population
1022703,7,10 km,no people
1022703,7,5 km,no people
1022703,7,2 km,no people
1022703,7,1 km,no people
1022703,7,Burned Area,no people
1022704,8,Radius,Population
1022704,8,10 km,no people
1022704,8,5 km,no people
1022704,8,2 km,no people
1022704,8,1 km,no people
1022704,8,Burned Area,no people
1022705,9,Radius,Population
1022705,9,10 km,<1000 people
1022705,9,5 km,<1000 people
1022705,9,2 km,<1000 people
1022705,9,1 km,<1000 people
1022705,9,Burned Area,<1000 people
1022706,1,Radius,Population
1022706,1,10 km,<1000 people
1022706,1,5 km,no people
1022706,1,2 km,no people
1022706,1,1 km,no people
1022706,1,Burned Area,no people
1022707,2,Radius,Population
1022707,2,10 km,<1000 people
1022707,2,5 km,<1000 people
1022707,2,2 km,<1000 people
1022707,2,1 km,no people
1022707,2,Burned Area,no people
1022708,2,Radius,Population
1022708,2,10 km,no people
1022708,2,5 km,no people
1022708,2,2 km,no people
1022708,2,1 km,no people
1022708,2,Burned Area,no people
1022709,8,Radius,Population
1022709,8,10 km,no people
1022709,8,5 km,no people
1022709,8,2 km,no people
1022709,8,1 km,no people
1022709,8,Burned Area,no people
1022710,2,Radius,Population
1022710,2,10 km,no people
1022710,2,5 km,no people
1022710,2,2 km,no people
1022710,2,1 km,no people
1022710,2,Burned Area,no people
1022711,8,Radius,Population
1022711,8,10 km,<1000 people
1022711,8,5 km,<1000 people
1022711,8,2 km,<1000 people
1022711,8,1 km,<1000 people
1022711,8,Burned Area,no people
1022712,1,Radius,Population
1022712,1,10 km,no people
1022712,1,5 km,no people
1022712,1,2 km,no people
1022712,1,1 km,no people
1022712,1,Burned Area,no people
1022713,8,Radius,Population
1022713,8,10 km,<1000 people
1022713,8,5 km,<1000 people
1022713,8,2 km,no people
1022713,8,1 km,no people
1022713,8,Burned Area,no people
1022714,4,Radius,Population
1022714,4,10 km,no people
1022714,4,5 km,no people
1022714,4,2 km,no people
1022714,4,1 km,no people
1022714,4,Burned Area,no people
1022715,3,Radius,Population
1022715,3,10 km,<1000 people
1022715,3,5 km,<1000 people
1022715,3,2 km,no people
1022715,3,1 km,no people
1022715,3,Burned Area,no people
1022716,6,Radius,Population
1022716,6,10 km,<1000 people
1022716,6,5 km,<1000 people
1022716,6,2 km,<1000 people
1022716,6,1 km,<1000 people
1022716,6,Burned Area,no people
1022717,2,Radius,Population
1022717,2,10 km,9800 people
1022717,2,5 km,6600 people
1022717,2,2 km,5100 people
1022717,2,1 km,4000 people
1022717,2,Burned Area,2400 people
1022718,2,Radius,Population
1022718,2,10 km,7700 people
1022718,2,5 km,<1000 people
1022718,2,2 km,<1000 people
1022718,2,1 km,<1000 people
1022718,2,Burned Area,<1000 people
1022719,2,Radius,Population
1022719,2,10 km,<1000 people
1022719,2,5 km,<1000 people
1022719,2,2 km,<1000 people
1022719,2,1 km,<1000 people
1022719,2,Burned Area,no people
1022720,7,Radius,Population
1022720,7,10 km,no people
1022720,7,5 km,no people
1022720,7,2 km,no people
1022720,7,1 km,no people
1022720,7,Burned Area,no people
1022721,5,Radius,Population
1022721,5,10 km,no people
1022721,5,5 km,no people
1022721,5,2 km,no people
1022721,5,1 km,no people
1022721,5,Burned Area,no people
1022722,7,Radius,Population
1022722,7,10 km,<1000 people
1022722,7,5 km,<1000 people
1022722,7,2 km,<1000 people
1022722,7,1 km,<1000 people
1022722,7,Burned Area,<1000 people
1022723,5,Radius,Population
1022723,5,10 km,no people
1022723,5,5 km,no people
1022723,5,2 km,no people
1022723,5,1 km,no people
1022723,5,Burned Area,no people
1022724,6,Radius,Population
1022724,6,10 km,<1000 people
1022724,6,5 km,<1000 people
1022724,6,2 km,<1000 people
1022724,6,1 km,<1000 people
1022724,6,Burned Area,<1000 people
1022725,4,Radius,Population
1022725,4,10 km,no people
1022725,4,5 km,no people
1022725,4,2 km,no people
1022725,4,1 km,no people
1022725,4,Burned Area,no people
1022726,7,Radius,Population
1022726,7,10 km,<1000 people
1022726,7,5 km,no people
1022726,7,2 km,no people
1022726,7,1 km,no people
1022726,7,Burned Area,no people
1022727,1,Radius,Population
1022727,1,10 km,39000 people
1022727,1,5 km,21000 people
1022727,1,2 km,13000 people
1022727,1,1 km,7800 people
1022727,1,Burned Area,2900 people
1022728,2,Radius,Population
1022728,2,10 km,<1000 people
1022728,2,5 km,<1000 people
1022728,2,2 km,<1000 people
1022728,2,1 km,no people
1022728,2,Burned Area,no people
1022729,3,Radius,Population
1022729,3,10 km,24000 people
1022729,3,5 km,9300 people
1022729,3,2 km,1600 people
1022729,3,1 km,1500 people
1022729,3,Burned Area,1200 people
1022730,2,Radius,Population
1022730,2,10 km,19000 people
1022730,2,5 km,9500 people
1022730,2,2 km,7100 people
1022730,2,1 km,6200 people
1022730,2,Burned Area,4400 people
1022731,1,Radius,Population
1022731,1,10 km,42000 people
1022731,1,5 km,22000 people
1022731,1,2 km,14000 people
1022731,1,1 km,8200 people
1022731,1,Burned Area,3100 people
1022732,1,Radius,Population
1022732,1,10 km,no people
1022732,1,5 km,no people
1022732,1,2 km,no people
1022732,1,1 km,no people
1022732,1,Burned Area,no people
1022733,2,Radius,Population
1022733,2,10 km,no people
1022733,2,5 km,no people
1022733,2,2 km,no people
1022733,2,1 km,no people
1022733,2,Burned Area,no people
1022734,3,Radius,Population
1022734,3,10 km,<1000 people
1022734,3,5 km,<1000 people
1022734,3,2 km,<1000 people
1022734,3,1 km,<1000 people
1022734,3,Burned Area,<1000 people
1022735,2,Radius,Population
1022735,2,10 km,no people
1022735,2,5 km,no people
1022735,2,2 km,no people
1022735,2,1 km,no people
1022735,2,Burned Area,no people
1022736,3,Radius,Population
1022736,3,10 km,no people
1022736,3,5 km,no people
1022736,3,2 km,no people
1022736,3,1 km,no people
1022736,3,Burned Area,no people
1022737,3,Radius,Population
1022737,3,10 km,no people
1022737,3,5 km,no people
1022737,3,2 km,no people
1022737,3,1 km,no people
1022737,3,Burned Area,no people
1022738,1,Radius,Population
1022738,1,10 km,<1000 people
1022738,1,5 km,<1000 people
1022738,1,2 km,no people
1022738,1,1 km,no people
1022738,1,Burned Area,no people
1022739,1,Radius,Population
1022739,1,10 km,<1000 people
1022739,1,5 km,<1000 people
1022739,1,2 km,no people
1022739,1,1 km,no people
1022739,1,Burned Area,no people
1022740,1,Radius,Population
1022740,1,10 km,no people
1022740,1,5 km,no people
1022740,1,2 km,no people
1022740,1,1 km,no people
1022740,1,Burned Area,no people
1022741,1,Radius,Population
1022741,1,10 km,1800 people
1022741,1,5 km,1000 people
1022741,1,2 km,<1000 people
1022741,1,1 km,<1000 people
1022741,1,Burned Area,<1000 people
1022742,1,Radius,Population
1022742,1,10 km,<1000 people
1022742,1,5 km,<1000 people
1022742,1,2 km,no people
1022742,1,1 km,no people
1022742,1,Burned Area,no people
1022743,1,Radius,Population
1022743,1,10 km,no people
1022743,1,5 km,no people
1022743,1,2 km,no people
1022743,1,1 km,no people
1022743,1,Burned Area,no people
