Event_id,Episode,ID,Alert_Color,GDACS_Score,Population_Affected,Burned_Area,Last_Update,GWIS
1022626,16,15,WF,0.5,0,15606,12 Oct 2024 14:00,GWIS
1022626,16,16,WF,0.5,0,15871,12 Oct 2024 18:00,GWIS
1022629,10,1,WF,0.5,0,8941,08 Oct 2024 10:00,GWIS
1022629,10,2,WF,0.5,0,8929,08 Oct 2024 18:00,GWIS
1022629,10,3,WF,0.5,0,10297,09 Oct 2024 02:00,GWIS
1022629,10,4,WF,0.5,0,10450,09 Oct 2024 06:00,GWIS
1022629,10,5,WF,0.5,0,27462,09 Oct 2024 10:00,GWIS
1022629,10,6,WF,0.5,0,27549,09 Oct 2024 14:00,GWIS
1022629,10,7,WF,0.5,0,27628,09 Oct 2024 18:00,GWIS
1022629,10,8,WF,0.5,0,27990,10 Oct 2024 06:00,GWIS
1022629,10,9,WF,0.5,0,28103,10 Oct 2024 18:00,GWIS
1022629,10,10,WF,0.5,0,28104,12 Oct 2024 18:00,GWIS
1022631,14,1,WF,0.5,0,5065,08 Oct 2024 10:00,GWIS
1022631,14,2,WF,0.5,0,5073,08 Oct 2024 18:00,GWIS
1022631,14,3,WF,0.5,0,6276,09 Oct 2024 02:00,GWIS
1022631,14,4,WF,0.5,0,6382,09 Oct 2024 06:00,GWIS
1022631,14,5,WF,0.5,0,7202,09 Oct 2024 10:00,GWIS
1022631,14,6,WF,0.5,0,7293,09 Oct 2024 18:00,GWIS
1022631,14,7,WF,0.5,0,7832,10 Oct 2024 06:00,GWIS
1022631,14,8,WF,0.5,0,8378,10 Oct 2024 10:00,GWIS
1022631,14,9,WF,0.5,0,8377,10 Oct 2024 18:00,GWIS
1022631,14,10,WF,0.5,0,8700,10 Oct 2024 22:00,GWIS
1022631,14,11,WF,0.5,0,8725,11 Oct 2024 06:00,GWIS
1022631,14,12,WF,0.5,0,8802,11 Oct 2024 10:00,GWIS
1022631,14,13,WF,0.5,0,8968,11 Oct 2024 14:00,GWIS
1022631,14,14,WF,0.5,0,8976,11 Oct 2024 18:00,GWIS
1022633,13,1,WF,0.5,0,5574,08 Oct 2024 18:00,GWIS
1022633,13,2,WF,0.5,0,5999,09 Oct 2024 02:00,GWIS
1022633,13,3,WF,0.5,0,6108,09 Oct 2024 06:00,GWIS
1022633,13,4,WF,0.5,0,9213,09 Oct 2024 10:00,GWIS
1022633,13,5,WF,0.5,0,9223,09 Oct 2024 18:00,GWIS
1022633,13,6,WF,0.5,0,9509,10 Oct 2024 06:00,GWIS
1022633,13,7,WF,0.5,0,15291,10 Oct 2024 10:00,GWIS
1022633,13,8,WF,0.5,0,20870,10 Oct 2024 18:00,GWIS
1022633,13,9,WF,0.5,0,23850,10 Oct 2024 22:00,GWIS
1022633,13,10,WF,0.5,0,23992,11 Oct 2024 06:00,GWIS
1022633,13,11,WF,0.5,0,36556,11 Oct 2024 10:00,GWIS
1022633,13,12,WF,0.5,0,37497,11 Oct 2024 14:00,GWIS
1022633,13,13,WF,0.5,0,37957,11 Oct 2024 18:00,GWIS
1022637,14,1,WF,0.5,0,9813,08 Oct 2024 18:00,GWIS
1022637,14,2,WF,0.5,0,10710,09 Oct 2024 02:00,GWIS
1022637,14,3,WF,0.5,0,11392,09 Oct 2024 06:00,GWIS
1022637,14,4,WF,0.5,0,15771,09 Oct 2024 10:00,GWIS
1022637,14,5,WF,0.5,0,15889,09 Oct 2024 18:00,GWIS
1022637,14,6,WF,0.5,0,18870,10 Oct 2024 06:00,GWIS
1022637,14,7,WF,0.5,0,22241,10 Oct 2024 10:00,GWIS
1022637,14,8,WF,0.5,0,22605,10 Oct 2024 14:00,GWIS
1022637,14,9,WF,0.5,0,22699,10 Oct 2024 18:00,GWIS
1022637,14,10,WF,0.5,0,27188,10 Oct 2024 22:00,GWIS
1022637,14,11,WF,0.5,0,27385,11 Oct 2024 06:00,GWIS
1022637,14,12,WF,0.5,0,28501,11 Oct 2024 10:00,GWIS
1022637,14,13,WF,0.5,0,29064,11 Oct 2024 14:00,GWIS
1022637,14,14,WF,0.5,0,29107,11 Oct 2024 18:00,GWIS
1022640,9,1,WF,0.5,0,5401,08 Oct 2024 14:00,GWIS
1022640,9,2,WF,0.5,0,17126,08 Oct 2024 22:00,GWIS
1022640,9,3,WF,0.5,0,18261,09 Oct 2024 02:00,GWIS
1022640,9,4,WF,0.5,0,18841,09 Oct 2024 14:00,GWIS
1022640,9,5,WF,0.5,0,20331,10 Oct 2024 10:00,GWIS
1022640,9,6,WF,0.5,0,20365,10 Oct 2024 14:00,GWIS
1022640,9,7,WF,0.5,0,20941,11 Oct 2024 02:00,GWIS
1022640,9,8,WF,0.5,0,20990,11 Oct 2024 14:00,GWIS
1022640,9,9,WF,0.5,0,21856,11 Oct 2024 18:00,GWIS
1022641,8,1,WF,0.5,0,5309,09 Oct 2024 10:00,GWIS
1022641,8,2,WF,0.5,0,5315,09 Oct 2024 14:00,GWIS
1022641,8,3,WF,0.5,0,6680,10 Oct 2024 02:00,GWIS
1022641,8,4,WF,0.5,0,6740,10 Oct 2024 10:00,GWIS
1022641,8,5,WF,0.5,0,6766,10 Oct 2024 14:00,GWIS
1022641,8,6,WF,0.5,0,7345,11 Oct 2024 10:00,GWIS
1022641,8,7,WF,0.5,0,7660,11 Oct 2024 14:00,GWIS
1022641,8,8,WF,0.5,0,7866,11 Oct 2024 18:00,GWIS
1022642,5,1,WF,0.5,2,7637,09 Oct 2024 14:00,GWIS
1022642,5,2,WF,0.5,2,8686,09 Oct 2024 18:00,GWIS
